Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,X,Y,Z,Distance,Time_seconds,SessionTime_seconds
2026-06-07 13:08:48.882,11858.0,267.0,6,100.0,False,0,car,0 days 00:00:00.229000,0 days 01:00:56.623000,-7673.0,-6429.0,503.0,0.0,0.229,3656.623
2026-06-07 13:08:49.202,11688.0,269.0,6,41.0,False,0,car,0 days 00:00:00.549000,0 days 01:00:56.943000,-7679.0,-6192.0,503.0,237.0759372015642,0.549,3656.943
2026-06-07 13:08:49.362,11845.0,266.0,6,3.0,False,0,car,0 days 00:00:00.709000,0 days 01:00:57.103000,-7671.0,-6028.0,503.0,401.2709432157545,0.709,3657.103
2026-06-07 13:08:49.522,11576.0,262.0,6,0.0,False,0,car,0 days 00:00:00.869000,0 days 01:00:57.263000,-7671.0,-6028.0,503.0,401.2709432157545,0.869,3657.263
2026-06-07 13:08:49.882,10794.0,253.0,6,0.0,True,0,car,0 days 00:00:01.229000,0 days 01:00:57.623000,-7646.0,-5727.0,503.0,703.3073648605621,1.229,3657.623
2026-06-07 13:08:50.242,9848.0,210.0,6,0.0,True,0,car,0 days 00:00:01.589000,0 days 01:00:57.983000,-7617.0,-5521.0,513.0,911.3386125134086,1.589,3657.983
2026-06-07 13:08:50.562,10351.0,183.0,6,0.0,True,0,car,0 days 00:00:01.909000,0 days 01:00:58.303000,-7577.0,-5311.0,519.0,1125.1141957777281,1.909,3658.303
2026-06-07 13:08:50.842,10935.0,176.0,5,0.0,True,0,car,0 days 00:00:02.189000,0 days 01:00:58.583000,-7555.0,-5214.0,520.0,1224.5777569446198,2.189,3658.583
2026-06-07 13:08:51.042,10493.0,148.0,3,0.0,True,0,car,0 days 00:00:02.389000,0 days 01:00:58.783000,-7516.0,-5062.0,523.0,1381.5013052093718,2.389,3658.783
2026-06-07 13:08:51.282,11524.0,133.0,2,2.0,True,0,car,0 days 00:00:02.629000,0 days 01:00:59.023000,-7485.0,-4953.0,526.0,1494.8238537158363,2.629,3659.023
2026-06-07 13:08:51.562,9971.0,122.0,2,0.0,True,0,car,0 days 00:00:02.909000,0 days 01:00:59.303000,-7441.0,-4826.0,533.0,1629.2299547678347,2.909,3659.303
2026-06-07 13:08:51.841,9302.0,113.0,2,0.0,True,0,car,0 days 00:00:03.188000,0 days 01:00:59.582000,-7441.0,-4826.0,533.0,1629.2299547678347,3.188,3659.582
2026-06-07 13:08:52.001,9050.0,110.0,2,0.0,True,0,car,0 days 00:00:03.348000,0 days 01:00:59.742000,-7410.0,-4761.0,535.0,1701.24384231739,3.348,3659.742
2026-06-07 13:08:52.321,8749.0,101.0,2,1.0,False,0,car,0 days 00:00:03.668000,0 days 01:01:00.062000,-7376.0,-4712.0,537.0,1760.8844325223838,3.668,3660.062
2026-06-07 13:08:52.681,8990.0,98.0,2,27.0,False,0,car,0 days 00:00:04.028000,0 days 01:01:00.422000,-7265.0,-4644.0,539.0,1891.0573943846691,4.028,3660.422
2026-06-07 13:08:52.921,9017.0,101.0,2,41.0,False,0,car,0 days 00:00:04.268000,0 days 01:01:00.662000,-7221.0,-4630.0,541.0,1937.23097990713,4.268,3660.662
2026-06-07 13:08:53.121,9372.0,104.0,2,54.0,False,0,car,0 days 00:00:04.468000,0 days 01:01:00.862000,-7176.0,-4620.0,542.0,1983.3287021935944,4.468,3660.862
2026-06-07 13:08:53.321,9846.0,112.0,2,60.0,False,0,car,0 days 00:00:04.668000,0 days 01:01:01.062000,-7035.0,-4599.0,550.0,2125.883954639795,4.668,3661.062
2026-06-07 13:08:53.561,10653.0,115.0,2,65.0,False,0,car,0 days 00:00:04.908000,0 days 01:01:01.302000,-7035.0,-4599.0,550.0,2125.883954639795,4.908,3661.302
2026-06-07 13:08:53.801,11279.0,130.0,2,78.0,False,0,car,0 days 00:00:05.148000,0 days 01:01:01.542000,-6941.0,-4590.0,556.0,2220.313822796009,5.148,3661.542
2026-06-07 13:08:54.041,12081.0,134.0,2,85.0,False,0,car,0 days 00:00:05.388000,0 days 01:01:01.782000,-6808.0,-4579.0,566.0,2353.767934759635,5.388,3661.782
2026-06-07 13:08:54.362,10694.0,150.0,2,90.0,False,0,car,0 days 00:00:05.709000,0 days 01:01:02.103000,-6720.0,-4570.0,574.0,2442.2269648244055,5.709,3662.103
2026-06-07 13:08:54.682,12075.0,160.0,3,100.0,False,0,car,0 days 00:00:06.029000,0 days 01:01:02.423000,-6618.0,-4559.0,583.0,2544.8183874678216,6.029,3662.423
2026-06-07 13:08:54.922,11117.0,176.0,3,100.0,False,0,car,0 days 00:00:06.269000,0 days 01:01:02.663000,-6499.0,-4542.0,591.0,2665.0265402695345,6.269,3662.663
2026-06-07 13:08:55.122,11149.0,185.0,4,100.0,False,0,car,0 days 00:00:06.469000,0 days 01:01:02.863000,-6403.0,-4525.0,599.0,2762.5201298023853,6.469,3662.863
2026-06-07 13:08:55.322,11473.0,192.0,4,100.0,False,0,car,0 days 00:00:06.669000,0 days 01:01:03.063000,-6230.0,-4487.0,616.0,2939.6443799772273,6.669,3663.063
2026-06-07 13:08:55.682,10641.0,203.0,5,100.0,False,0,car,0 days 00:00:07.029000,0 days 01:01:03.423000,-6023.0,-4437.0,633.0,3152.5974264452225,7.029,3663.423
2026-06-07 13:08:56.082,10961.0,216.0,5,100.0,False,0,car,0 days 00:00:07.429000,0 days 01:01:03.823000,-5864.0,-4397.0,648.0,3316.5516883599407,7.429,3663.823
2026-06-07 13:08:56.402,11401.0,226.0,5,100.0,False,0,car,0 days 00:00:07.749000,0 days 01:01:04.143000,-5686.0,-4353.0,664.0,3499.9092625149233,7.749,3664.143
2026-06-07 13:08:56.722,10435.0,233.0,6,100.0,False,0,car,0 days 00:00:08.069000,0 days 01:01:04.463000,-5478.0,-4299.0,684.0,3714.804585870272,8.069,3664.463
2026-06-07 13:08:56.882,10533.0,235.0,6,100.0,False,0,car,0 days 00:00:08.229000,0 days 01:01:04.623000,-5350.0,-4267.0,697.0,3846.743965890037,8.229,3664.623
2026-06-07 13:08:57.042,10667.0,238.0,6,100.0,False,0,car,0 days 00:00:08.389000,0 days 01:01:04.783000,-5221.0,-4239.0,708.0,3978.7477537144778,8.389,3664.783
2026-06-07 13:08:57.322,10975.0,245.0,6,100.0,False,0,car,0 days 00:00:08.669000,0 days 01:01:05.063000,-5089.0,-4218.0,720.0,4112.407770174151,8.669,3665.063
2026-06-07 13:08:57.522,11093.0,247.0,6,100.0,False,0,car,0 days 00:00:08.869000,0 days 01:01:05.263000,-4883.0,-4199.0,740.0,4319.282128179197,8.869,3665.263
2026-06-07 13:08:57.762,11212.0,250.0,6,100.0,False,0,car,0 days 00:00:09.109000,0 days 01:01:05.503000,-4679.0,-4173.0,759.0,4524.932316606049,9.109,3665.503
2026-06-07 13:08:58.082,11408.0,255.0,6,100.0,False,0,car,0 days 00:00:09.429000,0 days 01:01:05.823000,-4429.0,-4090.0,782.0,4788.350235510592,9.429,3665.823
2026-06-07 13:08:58.282,11498.0,256.0,6,100.0,False,0,car,0 days 00:00:09.629000,0 days 01:01:06.023000,-4429.0,-4090.0,782.0,4788.350235510592,9.629,3666.023
2026-06-07 13:08:58.482,11686.0,258.0,6,100.0,False,0,car,0 days 00:00:09.829000,0 days 01:01:06.223000,-4217.0,-3984.0,800.0,5025.37344112557,9.829,3666.223
2026-06-07 13:08:58.721,12206.0,259.0,6,100.0,False,0,car,0 days 00:00:10.068000,0 days 01:01:06.462000,-4217.0,-3984.0,800.0,5025.37344112557,10.068,3666.462
2026-06-07 13:08:59.121,11707.0,265.0,6,100.0,False,0,car,0 days 00:00:10.468000,0 days 01:01:06.862000,-3939.0,-3858.0,824.0,5330.5946723661245,10.468,3666.862
2026-06-07 13:08:59.601,9998.0,256.0,7,0.0,True,0,car,0 days 00:00:10.948000,0 days 01:01:07.342000,-3488.0,-3741.0,853.0,5796.523851533946,10.948,3667.342
2026-06-07 13:08:59.841,9301.0,245.0,7,0.0,True,0,car,0 days 00:00:11.188000,0 days 01:01:07.582000,-3354.0,-3723.0,858.0,5931.7274017831905,11.188,3667.582
2026-06-07 13:09:00.081,9613.0,236.0,7,0.0,True,0,car,0 days 00:00:11.428000,0 days 01:01:07.822000,-3222.0,-3707.0,861.0,6064.693562891948,11.428,3667.822
2026-06-07 13:09:00.361,10042.0,217.0,7,0.0,True,0,car,0 days 00:00:11.708000,0 days 01:01:08.102000,-3036.0,-3682.0,862.0,6252.366150128337,11.708,3668.102
2026-06-07 13:09:01.522,10983.0,163.0,3,0.0,True,0,car,0 days 00:00:12.869000,0 days 01:01:09.263000,-2460.0,-3422.0,865.0,6884.328174303841,12.869,3669.263
2026-06-07 13:09:01.802,10323.0,152.0,3,0.0,True,0,car,0 days 00:00:13.149000,0 days 01:01:09.543000,-2386.0,-3340.0,866.0,6994.781784475713,13.149,3669.543
