Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,X,Y,Z,Distance,Time_seconds,SessionTime_seconds
2026-06-07 13:06:38.801,11793.0,261.0,6,100.0,False,0,car,0 days 00:00:00.231000,0 days 00:58:46.542000,-7667.0,-6535.0,502.0,0.0,0.231,3526.542
2026-06-07 13:06:39.081,11883.0,265.0,6,100.0,False,0,car,0 days 00:00:00.511000,0 days 00:58:46.822000,-7680.0,-6216.0,503.0,319.2647803939545,0.511,3526.822
2026-06-07 13:06:39.361,11825.0,264.0,6,100.0,True,0,car,0 days 00:00:00.791000,0 days 00:58:47.102000,-7670.0,-6024.0,503.0,511.5250206933986,0.791,3527.102
2026-06-07 13:06:39.561,11194.0,258.0,6,2.0,True,0,car,0 days 00:00:00.991000,0 days 00:58:47.302000,-7648.0,-5744.0,503.0,792.3879765989434,0.991,3527.302
2026-06-07 13:06:39.841,10318.0,243.0,6,0.0,True,0,car,0 days 00:00:01.271000,0 days 00:58:47.582000,-7639.0,-5667.0,503.0,869.9121663722007,1.271,3527.582
2026-06-07 13:06:40.081,9513.0,218.0,6,0.0,True,0,car,0 days 00:00:01.511000,0 days 00:58:47.822000,-7606.0,-5457.0,514.0,1082.489211228883,1.511,3527.822
2026-06-07 13:06:40.281,9313.0,199.0,6,0.0,True,0,car,0 days 00:00:01.711000,0 days 00:58:48.022000,-7606.0,-5457.0,514.0,1082.489211228883,1.711,3528.022
2026-06-07 13:06:41.041,9863.0,146.0,3,0.0,True,0,car,0 days 00:00:02.471000,0 days 00:58:48.782000,-7527.0,-5104.0,521.0,1444.2211561826016,2.471,3528.782
2026-06-07 13:06:41.361,10690.0,123.0,3,0.0,True,0,car,0 days 00:00:02.791000,0 days 00:58:49.102000,-7487.0,-4962.0,526.0,1591.747425029882,2.791,3529.102
2026-06-07 13:06:41.641,9861.0,112.0,2,0.0,True,0,car,0 days 00:00:03.071000,0 days 00:58:49.382000,-7464.0,-4891.0,529.0,1666.379857658063,3.071,3529.382
2026-06-07 13:06:41.961,9519.0,107.0,2,0.0,True,0,car,0 days 00:00:03.391000,0 days 00:58:49.702000,-7444.0,-4834.0,532.0,1726.7868109002188,3.391,3529.702
2026-06-07 13:06:42.161,9258.0,104.0,2,0.0,False,0,car,0 days 00:00:03.591000,0 days 00:58:49.902000,-7408.0,-4757.0,535.0,1811.7868109002188,3.591,3529.902
2026-06-07 13:06:42.321,9074.0,101.0,2,11.0,False,0,car,0 days 00:00:03.751000,0 days 00:58:50.062000,-7371.0,-4707.0,537.0,1873.9880970605548,3.751,3530.062
2026-06-07 13:06:42.721,9316.0,98.0,2,43.0,False,0,car,0 days 00:00:04.151000,0 days 00:58:50.462000,-7322.0,-4670.0,537.0,1935.3884227925898,4.151,3530.462
2026-06-07 13:06:43.042,9971.0,103.0,2,58.0,False,0,car,0 days 00:00:04.472000,0 days 00:58:50.783000,-7186.0,-4622.0,542.0,2079.6104738111494,4.472,3530.783
2026-06-07 13:06:43.242,10274.0,105.0,2,61.0,False,0,car,0 days 00:00:04.672000,0 days 00:58:50.983000,-7120.0,-4609.0,545.0,2146.878594046518,4.672,3530.983
2026-06-07 13:06:43.562,11116.0,116.0,2,74.0,False,0,car,0 days 00:00:04.992000,0 days 00:58:51.303000,-6995.0,-4595.0,552.0,2272.660150723163,4.992,3531.303
2026-06-07 13:06:43.962,10251.0,136.0,2,88.0,False,0,car,0 days 00:00:05.392000,0 days 00:58:51.703000,-6833.0,-4581.0,565.0,2435.2639637165857,5.392,3531.703
2026-06-07 13:06:44.281,11878.0,146.0,3,100.0,False,0,car,0 days 00:00:05.711000,0 days 00:58:52.022000,-6833.0,-4581.0,565.0,2435.2639637165857,5.711,3532.022
2026-06-07 13:06:44.521,11174.0,156.0,3,100.0,False,0,car,0 days 00:00:05.951000,0 days 00:58:52.262000,-6731.0,-4571.0,572.0,2537.7529875191376,5.951,3532.262
2026-06-07 13:06:44.681,11189.0,166.0,4,100.0,False,0,car,0 days 00:00:06.111000,0 days 00:58:52.422000,-6612.0,-4558.0,583.0,2657.460965532301,6.111,3532.422
2026-06-07 13:06:44.961,10252.0,178.0,4,100.0,False,0,car,0 days 00:00:06.391000,0 days 00:58:52.702000,-6516.0,-4545.0,591.0,2754.337175202168,6.391,3532.702
2026-06-07 13:06:45.361,10381.0,197.0,4,100.0,False,0,car,0 days 00:00:06.791000,0 days 00:58:53.102000,-6343.0,-4513.0,605.0,2930.271822159497,6.791,3533.102
2026-06-07 13:06:45.601,10748.0,200.0,5,100.0,False,0,car,0 days 00:00:07.031000,0 days 00:58:53.342000,-6127.0,-4462.0,625.0,3152.211003017677,7.031,3533.342
2026-06-07 13:06:45.761,10811.0,210.0,5,100.0,False,0,car,0 days 00:00:07.191000,0 days 00:58:53.502000,-6127.0,-4462.0,625.0,3152.211003017677,7.191,3533.502
2026-06-07 13:06:45.961,11187.0,213.0,5,100.0,False,0,car,0 days 00:00:07.391000,0 days 00:58:53.702000,-6025.0,-4437.0,633.0,3257.2300489093627,7.391,3533.702
2026-06-07 13:06:46.161,11531.0,219.0,5,100.0,False,0,car,0 days 00:00:07.591000,0 days 00:58:53.902000,-5920.0,-4411.0,644.0,3365.4012095761504,7.591,3533.902
2026-06-07 13:06:46.401,11417.0,223.0,5,100.0,False,0,car,0 days 00:00:07.831000,0 days 00:58:54.142000,-5706.0,-4358.0,662.0,3585.8666263652694,7.831,3534.142
2026-06-07 13:06:46.721,10414.0,229.0,6,100.0,False,0,car,0 days 00:00:08.151000,0 days 00:58:54.462000,-5498.0,-4304.0,682.0,3800.7619497206183,8.151,3534.462
2026-06-07 13:06:47.041,10660.0,235.0,6,100.0,False,0,car,0 days 00:00:08.471000,0 days 00:58:54.782000,-5314.0,-4258.0,701.0,3990.424808499031,8.471,3534.782
2026-06-07 13:06:47.281,10889.0,239.0,6,100.0,False,0,car,0 days 00:00:08.711000,0 days 00:58:55.022000,-5211.0,-4237.0,709.0,4095.543788707174,8.711,3535.022
2026-06-07 13:06:47.561,10995.0,244.0,6,100.0,False,0,car,0 days 00:00:08.991000,0 days 00:58:55.302000,-4958.0,-4205.0,732.0,4350.559474499244,8.991,3535.302
2026-06-07 13:06:47.721,11127.0,245.0,6,100.0,False,0,car,0 days 00:00:09.151000,0 days 00:58:55.462000,-4822.0,-4193.0,745.0,4487.0878598262525,9.151,3535.462
2026-06-07 13:06:47.921,11217.0,247.0,6,100.0,False,0,car,0 days 00:00:09.351000,0 days 00:58:55.662000,-4688.0,-4175.0,759.0,4622.291410075497,9.351,3535.662
2026-06-07 13:06:48.121,11325.0,248.0,6,100.0,False,0,car,0 days 00:00:09.551000,0 days 00:58:55.862000,-4429.0,-4090.0,782.0,4894.882679194668,9.551,3535.862
2026-06-07 13:06:48.401,11443.0,251.0,6,100.0,False,0,car,0 days 00:00:09.831000,0 days 00:58:56.142000,-4429.0,-4090.0,782.0,4894.882679194668,9.831,3536.142
2026-06-07 13:06:48.721,11406.0,256.0,6,100.0,False,0,car,0 days 00:00:10.151000,0 days 00:58:56.462000,-4184.0,-3967.0,803.0,5169.024978010447,10.151,3536.462
2026-06-07 13:06:48.921,11748.0,255.0,6,100.0,False,0,car,0 days 00:00:10.351000,0 days 00:58:56.662000,-4004.0,-3883.0,818.0,5367.660322297409,10.351,3536.662
2026-06-07 13:06:49.281,11470.0,257.0,6,100.0,True,0,car,0 days 00:00:10.711000,0 days 00:58:57.022000,-3844.0,-3824.0,831.0,5538.191844310203,10.711,3537.022
2026-06-07 13:06:49.442,11547.0,256.0,6,100.0,True,0,car,0 days 00:00:10.872000,0 days 00:58:57.183000,-3708.0,-3784.0,840.0,5679.952205483558,10.872,3537.183
2026-06-07 13:06:49.642,11674.0,256.0,6,86.0,True,0,car,0 days 00:00:11.072000,0 days 00:58:57.383000,-3625.0,-3765.0,846.0,5765.09913731319,11.072,3537.383
2026-06-07 13:06:49.882,10834.0,248.0,6,0.0,True,0,car,0 days 00:00:11.312000,0 days 00:58:57.623000,-3375.0,-3723.0,858.0,6018.60258896622,11.312,3537.623
2026-06-07 13:06:50.162,9978.0,231.0,6,0.0,True,0,car,0 days 00:00:11.592000,0 days 00:58:57.903000,-3229.0,-3708.0,861.0,6165.3711142023885,11.592,3537.903
2026-06-07 13:06:50.522,10677.0,210.0,5,0.0,True,0,car,0 days 00:00:11.952000,0 days 00:58:58.263000,-2952.0,-3667.0,861.0,6445.388970775858,11.952,3538.263
2026-06-07 13:06:50.762,10400.0,198.0,5,0.0,True,0,car,0 days 00:00:12.192000,0 days 00:58:58.503000,-2782.0,-3619.0,861.0,6622.035510509871,12.192,3538.503
2026-06-07 13:06:51.041,11188.0,194.0,5,0.0,True,0,car,0 days 00:00:12.471000,0 days 00:58:58.782000,-2590.0,-3525.0,863.0,6835.81109377419,12.471,3538.782
2026-06-07 13:06:51.321,10609.0,180.0,4,0.0,True,0,car,0 days 00:00:12.751000,0 days 00:58:59.062000,-2527.0,-3481.0,864.0,6912.6550915879425,12.751,3539.062
2026-06-07 13:06:51.761,9951.0,164.0,4,0.0,True,0,car,0 days 00:00:13.191000,0 days 00:58:59.502000,-2432.0,-3394.0,866.0,7041.472792235019,13.191,3539.502
2026-06-07 13:06:52.001,9569.0,160.0,4,2.0,True,0,car,0 days 00:00:13.431000,0 days 00:58:59.742000,-2335.0,-3259.0,867.0,7207.707565973849,13.431,3539.742
2026-06-07 13:06:52.241,9334.0,154.0,4,2.0,False,0,car,0 days 00:00:13.671000,0 days 00:58:59.982000,-2307.0,-3197.0,868.0,7275.736971380629,13.671,3539.982
